4B77EAB33A32628352BA8868078AE474,51621711000 ,A0004,6.0.23.3.5.20170618,GT-I9158P
9B3B5F4CD03281BF9F59746ABD4581F9,9811711000 ,A0004,6.0.23.3.5.20170618,SM-N9008V
8C66C7985352E927506A630C2E8F112A,84865711000 ,A0004,6.0.23.3.5.20170618,MHA-AL00
8DFA368C0B76257568E64AB64CAAD131,51821711000 ,A0004,6.0.23.3.5.20170618,MHA-AL00
877972D32A9A4AE41567C832633AEA46,50221711000 ,A0004,6.0.23.3.5.20170618,vivo X7
966E1FB252536E1D353B748FC0944DB8,51721711000 ,A0004,6.0.23.3.5.20170618,HUAWEI MT7-TL00
b325d2d094b9b7c014155713f2252156,52121711000 ,A0004,5.3.23.3.5.20170105,SM-A7100
34bd57c0a6f01250c54c576cb96d76bd,1341711000 ,A0004,3.0.23.3.5.20130812,GT-I9308
fdf2b7a2bc00cb59bfafdede3b5ff1df,84865711000 ,A0004,5.3.23.3.5.20170105,HUAWEI MT7-TL00
3CCF61FAB66B4C006251A3EAF3A3ABB9,54921711000 ,A0004,6.0.23.3.5.20170618,OPPO R9s
F5C398EF86AD1039B12AD4B757DAD8CF,84865711000 ,A0004,6.0.23.3.5.20170618,MHA-AL00
4899BE265F2BB730509404EC05A2D969,84865711000 ,A0004,6.0.23.3.5.20170618,EVA-AL10
2070C1056094973C82B77697C6E45B1E,52121711000 ,A0004,6.0.23.3.5.20170618,EVA-AL10
E5980EB8E72C1EADC9C234524043722C,52121711000 ,A0004,6.0.23.3.5.20170618,EVA-AL10
487609725D6CE60368E71F02AB00A081,52121711000 ,A0004,6.0.23.3.5.20170618,SM-G9008V
C25805E1ABE569278716AB6A4B242296,9811711000 ,A0004,6.0.23.3.5.20170618,SM-G9008V
8a41d53c2417d29004fbc5a93d6f6df2,52121711000 ,A0004,5.3.23.3.5.20170105,SM-G9008V
847BF8292B40FCB8B8D3A7D036629BF9,9721711005 ,A0004,6.0.23.3.5.20170618,vivo Y51A
ef5b3b5fc7cf1e3d0a5a1753fa36f045,52121711000 ,A0004,5.3.23.3.5.20170105,vivo V3
5345ba616d1af9d835fd1771623b7cee,2441711001 ,A0004,5.0.23.3.5.20160525,Coolpad 8705
7DBE4BD4144647FEAF7A1B0221980585,84865711000 ,A0004,6.0.23.3.5.20170618,VKY-AL00
C6BFECFC6C0B9AB5C28F7F7CDEC477E3,52121711000 ,A0004,6.0.23.3.5.20170618,SM-G9280
A2D852C13594571D5BFB50A8FDC77336,9811711000 ,A0004,6.0.23.3.5.20170618,HUAWEI MT7-TL00
BA5EBD183C5F4D7CF9D4FC294E5BFB3F,84865711000 ,A0004,6.0.23.3.5.20170618,HUAWEI NXT-TL00
85AF91622353CAB7EDC8924023CBB008,51821711000 ,A0004,6.0.23.3.5.20170618,A31
6A3B49DAB69E20FE96B6C33BE95FD6D6,52121711000 ,A0004,6.0.23.3.5.20170618,8298-A01
96E8ADF5ED78BFC1346173EBC3DC072A,9721711001 ,A0004,6.0.23.3.5.20170618,HUAWEI NXT-AL10
95E4EE8484CE96EFD588928BFE484F43,9721711001 ,A0004,6.0.23.3.5.20170618,R7Plusm
C1C0A335ACAD73B1089846011AFAB8AE,84865711000 ,A0004,6.0.23.3.5.20170618,SCL-TL00
d11cc97a6e726fb7f3b06ab587136c22,3241711000 ,A0004,3.3.23.3.5.20131030,G620-L75
BAD8D93C84984D297009783A51A593C8,51621711000 ,A0004,6.0.23.3.5.20170618,SM-G9008V
a858242855050dd53990cc013e1d59a9,3241711000 ,A0004,5.0.23.3.5.20160525,HUAWEI TIT-TL00
59C0009A36BAD69EAB44AD08D7DD3C1A,9721711005 ,A0004,6.0.23.3.5.20170618,HUAWEI TAG-AL00
8A8A9CF261F431C92DB96E1EB8036375,51721711000 ,A0004,6.0.23.3.5.20170618,OPPO R9 Plustm A
E887361618FAA8DA7E3D4C1E44DA37DC,52121711000 ,A0004,6.0.23.3.5.20170618,SM-G9008V
363E2C109F54E41FE56FFB0488D3B2D7,51821711000 ,A0004,6.0.23.3.5.20170618,vivo X5S L
F52E9241CBD8119EE9CC249376F993B5,54021711000 ,A0004,6.0.23.3.5.20170618,OPPO R9m
9325d2f02e30049267ced8ae038b1559,3241711000 ,A0004,5.0.23.3.5.20160525,HUAWEI P7-L07
35540de8ce95b20e3ee36fbd2a00612d,52121711000 ,A0004,4.12.23.3.5.20160101,SM-N9008V
37BECFE34E542F44B5BDACBB62E8FC9A,52121711000 ,A0004,6.0.23.3.5.20170618,DIG-AL00
9b7a4f3adfdec436dc909aac62836039,52121711000 ,A0004,5.2.23.3.5.20160921,SM-G7108V
